item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,Shipping weight,Shipping weight unit,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note,description,price_source,flags
001,Nike Athletics T Shirt Orange Vintage 90s Womens Small,Nike,4e101a09-6234-2e61-6ee9-2f485d8269cd,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Orange,,12.99,VWM - Women's Y2K Mix,1,1990s,"Embroidered Athletics shield beneath a small chest Swoosh, single-stitch feel and a boxy cut - a 1990s Nike blank.",Cotton,estimated - no composition tag read,"Slight discrepancy on the back of the neck, barely noticeable (see images)",190,Grams,2.95,,FALSE,FALSE,nike|t shirt|athletics|orange|vintage|90s|y2k|womens|small|sportswear|streetwear,SomeoneElse,From1990s,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: Short Sleeve,"Very Good Vintage Condition
Size: Small (Measurements provided on the images)
Era: 1990s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s Vintage Nike t-shirt in bright orange with an embroidered Athletics shield logo at the chest beneath a small Swoosh. Ribbed crew neck and a boxy vintage cut. Slight discrepancy on the back of the neck, barely noticeable (see images).",owner,
002,Ralph Lauren Shirt Oxford Button Down Pink Womens Size 16,Ralph Lauren,ccf577d4-1398-7c82-2ea9-569848ab636e,56e831c3-9d80-8f60-8607-aef663a28e0b,VeryGood,Pink,,18.00,VWM - Women's Y2K Mix,1,2000s to 2010s,Standard button-down oxford with an embroidered pony; the shape has run unchanged for decades so nothing here narrows it further.,Cotton oxford,estimated - no composition tag read,None,320,Grams,2.95,,FALSE,FALSE,ralph lauren|shirt|oxford|button down|pink|preppy|womens|size 16|vintage|smart casual,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Button-Up | Sleeve length: Long Sleeve,"Very Good Condition
Size: 16 (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton oxford
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren oxford shirt in soft pink with the signature embroidered pony at the chest. Button-down collar, full button placket and a curved shirt tail hem.",owner,
003,Chicago Bulls Jersey Boozer 5 NBA Adidas Red Vintage Womens 16,Adidas,f4a67f28-053d-8610-20a4-9573961c33e4,56e831c3-9d80-8f60-8607-aef663a28e0b,VeryGood,Red,Black,17.99,VWM - Women's Y2K Mix,1,2010s,"Carlos Boozer played for the Bulls 2010-2014 and Adidas held the NBA licence 2006-2017, which brackets this to the early 2010s.",Polyester mesh,estimated - no composition tag read,None,220,Grams,2.95,,FALSE,FALSE,chicago bulls|nba|jersey|basketball|carlos boozer|adidas|red|vintage|womens|size 16|sportswear,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: no Jersey option in the Type list seen so far,"Very Good Condition
Size: 16 (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester mesh
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Adidas NBA jersey for the Chicago Bulls in red with Carlos Boozer number 5 in white. Mesh body, contrast black side panels, embroidered Bulls crest and a stitched NBA logo at the neck.",owner,Ledger notes men's/women's unconfirmed; womenswear from the SKU
004,Ralph Lauren Long Sleeve Henley Top Red Womens Small UK 8,Ralph Lauren,915cc70c-4838-5a4b-8ca3-7ef0f62e072e,8810c9c8-178a-5fe2-9569-93281ba3340e,VeryGood,Red,,14.99,VWM - Women's Y2K Mix,1,2010s,Three-button henley placket with the current navy Polo Ralph Lauren neck label.,Cotton jersey,estimated - no composition tag read,None,260,Grams,2.95,,FALSE,FALSE,ralph lauren|henley|long sleeve|top|red|preppy|womens|small|uk 8|vintage|cotton,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: T-Shirt | Sleeve length: Long Sleeve,"Very Good Condition
Size: Small (8) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton jersey
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Ralph Lauren long sleeve henley top in red with a three-button placket and contrast white buttons. Embroidered navy pony at the chest and a slim tailored cut.",owner,
005,Denver Broncos Jersey Anderson 22 NFL Nike Orange Womens Large,Nike,f4a67f28-053d-8610-20a4-9573961c33e4,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,Good,Orange,Navy,14.99,VWM - Women's Y2K Mix,1,2010s,"Nike took the NFL licence in 2012 and C.J. Anderson played for the Broncos 2013-2017, so this cannot predate 2013.",Polyester mesh,estimated - no composition tag read,None,240,Grams,2.95,,FALSE,FALSE,denver broncos|nfl|jersey|american football|cj anderson|nike|orange|womens|large|sportswear|vintage,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: no Jersey option in the Type list seen so far,"Good Condition
Size: Large (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester mesh
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2010s Nike NFL jersey for the Denver Broncos in orange with C.J. Anderson number 22 in white. Mesh body, twin navy sleeve stripes and a stitched Broncos logo at the collar.",owner,
006,Ralph Lauren Polo Shirt Black Purple Pony Vintage Mens Small,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Black,,13.99,VWM - RL Lacoste Polos,1,2000s to 2010s,Contrast purple pony on black; contrast-colour ponies date from the mid 2000s onward.,Cotton pique,estimated - no composition tag read,None,260,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|black|purple pony|mens|small|vintage|preppy|y2k|cotton pique,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo,"Very Good Condition
Size: Small Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in black with a contrast purple embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",owner,
007,Ralph Lauren Polo Shirt Green Yellow Pony Vintage Mens Large,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,14.99,VWM - RL Lacoste Polos,1,2000s to 2010s,"Contrast yellow pony on green, and the navy Polo Ralph Lauren Custom Fit neck label.",Cotton pique,estimated - no composition tag read,None,300,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|green|yellow pony|mens|large|vintage|preppy|y2k|cotton pique,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo,"Very Good Condition
Size: Large Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in green with a contrast yellow embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",owner,
008,Ralph Lauren Polo Shirt Blue Pink Pony Vintage Mens Medium,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,51fb40ab-9573-468e-1d52-be5be9d44e75,VeryGood,Blue,,13.99,VWM - RL Lacoste Polos,1,2000s to 2010s,"Contrast pink pony on bright blue, mid 2000s onward, with the older Polo by Ralph Lauren neck label.",Cotton pique,estimated - no composition tag read,Very small discrepancy on the back (see images),280,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|blue|pink pony|mens|medium|vintage|preppy|y2k|cotton pique,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo,"Very Good Vintage Condition
Size: Medium Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in bright blue with a contrast pink embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem. Very small discrepancy on the back (see images).",owner,
009,Ralph Lauren Polo Shirt Grey Taupe Vintage Mens Medium,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,51fb40ab-9573-468e-1d52-be5be9d44e75,VeryGood,Gray,,12.99,VWM - RL Lacoste Polos,1,2000s to 2010s,Standard cut with the navy Polo Ralph Lauren label; nothing here narrows it beyond the decade pair.,Cotton pique,estimated - no composition tag read,Slight discrepancy on the front,280,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|grey|taupe|mens|medium|vintage|preppy|y2k|cotton pique,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo,"Very Good Vintage Condition
Size: Medium (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in grey taupe with a tonal embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem. Slight discrepancy on the front.",owner,
010,Ralph Lauren Polo Shirt Navy Blue Vintage Mens Small,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Navy,,14.99,VWM - RL Lacoste Polos,1,2000s to 2010s,Standard navy with a white pony; no dateable detail beyond the label style.,Cotton pique,estimated - no composition tag read,None,260,Grams,2.95,,FALSE,FALSE,ralph lauren|polo|polo shirt|navy|blue|mens|small|vintage|preppy|y2k|cotton pique,SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,Department: Men | Type: Polo,"Very Good Condition
Size: Small Men's (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren polo shirt in navy blue with a white embroidered pony at the chest. Two-button placket, ribbed collar and cuffs and side vents at the hem.",owner,
