item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,defect_severity,Shipping weight,Shipping weight unit,Domestic shipping price,Worldwide shipping price,Free domestic shipping,Free worldwide shipping,Tags,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,Internal note,description,price_source,price_basis,flags
001,Adidas Y2K Hoodie Orange Vintage Womens XS Pullover 3 Stripes Embroidered,Adidas,b1d3ddb2-054d-46ee-52e1-4f079b388670,02d57f77-78f5-0f68-8e09-b5a195e78035,Good,Orange,Gray,14.99,VWM - Women's Y2K Mix,1,2000s,"Blocky embroidered adidas wordmark under a large chest trefoil-era logo, three stripes running the full sleeve and a heavy brushed-back fleece - the mid-2000s adidas hoodie pattern.",Cotton and polyester fleece,estimated - no composition tag photographed,A few dark marks and discrepancies on the front (see images),Minor,620,Grams,2.95,,FALSE,FALSE,adidas|y2k|hoodie|orange|vintage|womens|xs|pullover|3|stripes|embroidered,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text - no Hooded option in the list),"Good Condition
Size: UK 30/32 (chest) - approx. women's XS-S (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s vintage Adidas pullover hoodie in bright orange with a large embroidered adidas wordmark and trefoil logo across the chest. Three grey stripes run the length of each sleeve, with a kangaroo pocket, ribbed cuffs and hem and a lined hood. A few dark marks and discrepancies on the front (see images).",owner,,
002,Nike Georgia Bulldogs Hoodie Grey Zip Up Womens Small Vintage College Sweatshirt,Nike,b1d3ddb2-054d-46ee-52e1-4f079b388670,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Gray,Red,19.99,VWM - Women's Y2K Mix,1,2010s,"Woven Nike swoosh neck label of the 2010s collegiate line, with the arched GEORGIA chest applique and a G bulldog patch at the hip.",Cotton and polyester fleece,estimated - no composition tag photographed,A few marks (see images),Minor,580,Grams,2.95,,FALSE,FALSE,nike|georgia|bulldogs|hoodie|grey|zip|up|womens|small|vintage|college|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Full Zip | Neckline: Hooded (free text),"Very Good Vintage Condition
Size: Small Women's (4-6) (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Nike Georgia Bulldogs full-zip hoodie in heather grey with a red arched GEORGIA applique across the chest and an embroidered G bulldog patch at the hip. Red-tipped ribbed cuffs and hem, split kangaroo pockets and a lined drawstring hood. A few marks (see images).",owner,,
003,Ralph Lauren Sweater Vest Navy Cable Knit Womens Medium Preppy Sleeveless Jumper,Ralph Lauren,8ccf12e4-4a3b-98b5-2f18-e28dfaed9ebe,fb288854-9af5-1e28-20b7-2837ee7b6aed,Good,Navy,,12.99,VWM - Women's Y2K Mix,1,2000s,"Polo blue label with the small embroidered chest pony, cotton cable knit in the classic sleeveless V-neck cut Ralph Lauren has run through the 2000s.",100% Cotton,ledger states 100% cotton,None,None,320,Grams,2.95,,FALSE,FALSE,ralph lauren|ralph|lauren|sweater|vest|navy|cable|knit|womens|medium|preppy|sleeveless|jumper,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Vest | Neckline: V-Neck | Sleeve length: Sleeveless,"Good Condition
Size: Medium (12-14) (Measurements provided on the images)
Era: 2000s

🧵Material: 100% Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Ralph Lauren cable knit sweater vest in navy with the signature embroidered pony at the chest. Sleeveless V-neck cut with ribbed neckline, armholes and hem - a preppy layering piece over a shirt or tee.",owner,,
004,Lacoste Y2K Polo Shirt Red Womens Small Vintage Pique Croc Logo Short Sleeve,Lacoste,94954653-2623-55ef-459f-259d8f557249,0a197135-09d9-7a16-9bc8-9fe09264a06a,Good,Red,,9.99,VWM - Women's Y2K Mix,1,2000s,Woven Lacoste crocodile patch at the chest on a fine pique with a two-button placket and ribbed sleeve bands - the standard Lacoste polo pattern through the 2000s.,Cotton pique,estimated - no composition tag photographed,"Marks and discrepancies on the back and front, mainly on the back",Minor,250,Grams,2.95,,FALSE,FALSE,lacoste|y2k|polo|shirt|red|womens|small|vintage|pique|croc|logo|short|sleeve,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Type: Polo | Sleeve length: Short Sleeve | Neckline: Collared,"Good Condition
Size: Small Women's (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton pique
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lacoste pique polo shirt in red with the woven crocodile patch at the chest. Ribbed collar and sleeve bands, two-button placket and a straight ribbed hem. Marks and discrepancies on the back and front, mainly on the back.",owner,,
005,Juicy Couture Y2K Shirt Dress Black Womens Size 6 XS Vintage Collared Midi,Juicy Couture,1785f9f8-8f46-52a3-3108-f961487772b9,808d6bf9-a57f-68f6-84b1-75dd78365695,VeryGood,Black,,17.99,VWM - Women's Y2K Mix,1,2000s,"Juicy Couture crown-stamped shank buttons and the rounded shirt collar of the label's mid-2000s woven line, cut as a short-sleeve shirt dress.",Cotton,estimated - no composition tag photographed,None,None,350,Grams,2.95,,FALSE,FALSE,juicy couture|juicy|couture|y2k|shirt|dress|black|womens|size|6|xs|vintage|collared|midi,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Shirt Dress | Neckline: Collared | Sleeve length: Short Sleeve,"Very Good Condition
Size: 2 (likely US 2 = UK 6 / XS - unconfirmed) (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Juicy Couture shirt dress in black with a rounded collar, pintucked bib and crown-stamped buttons down a full placket. Short sleeves with turn-back cuffs, a picot-trimmed hem and a softly A-line skirt.",owner,,
006,The North Face Y2K Denali Fleece Jacket Pink Grey Womens XL Vintage Full Zip,The North Face,53f58a32-4297-5d2a-13e1-f280dccc7b29,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Pink,Gray,14.99,VWM - Women's Y2K Mix,1,2000s,The Denali panel layout - pink fleece body with grey nylon shoulder and chest overlays and an embroidered chest logo - as built through the 2000s.,Polyester fleece with nylon overlays,estimated - no composition tag photographed,None,None,680,Grams,2.95,,FALSE,FALSE,the north face|north|face|y2k|denali|fleece|jacket|pink|grey|womens|xl|vintage|full|zip,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Basic Jacket | Outer Shell Material: Polyester,"Very Good Condition
Size: XL (Measurements provided on the images)
Era: 2000s

🧵Material: Polyester fleece with nylon overlays
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: The North Face Denali fleece jacket in pink with grey nylon shoulder and chest overlays. Full-length zip, two zipped hand pockets, an embroidered chest logo and elasticated cuffs.",owner,,
007,Von Dutch Y2K Track Jacket Black Velour Womens Medium Vintage Zip Up Hoodie,Von Dutch,266eae6a-6f6b-9e8f-6486-14bc0cdf3ed7,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Black,,29.99,VWM - Women's Y2K Mix,1,2000s,"Von Dutch tonal script embroidery across the back with the trucker-graphic hood lining - the label's 2003 to 2005 peak, when the velour tracksuit was its signature piece.",Cotton and polyester velour,estimated - tag photographed but not legible,None,None,560,Grams,2.95,,FALSE,FALSE,von dutch|von|dutch|y2k|track|jacket|black|velour|womens|medium|vintage|zip|up|hoodie,SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Track Jacket | Neckline: Hooded (free text),"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton and polyester velour
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Y2K Von Dutch velour zip-up hoodie in black with tonal Von Dutch script embroidered across the back. Contrast ribbed cuffs and hem, front slash pockets and a printed graphic hood lining.",owner,,
008,Lululemon Jacket Pink Womens Small Zip Up Athletic Running Track Top,Lululemon,266eae6a-6f6b-9e8f-6486-14bc0cdf3ed7,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Pink,Red,22.99,VWM - Women's Y2K Mix,1,2010s,Lululemon's metal wordmark zip pull and reflective back logo on a panelled four-way stretch body - the 2010s Define-style running jacket.,Nylon and elastane,estimated - no composition tag photographed,None,None,420,Grams,2.95,,FALSE,FALSE,lululemon|jacket|pink|womens|small|zip|up|athletic|running|track|top,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Track Jacket | Outer Shell Material: Nylon,"Very Good Condition
Size: Small Women's (no size label - owner's estimate, unconfirmed) (Measurements provided on the images)
Era: 2010s

🧵Material: Nylon and elastane
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Lululemon full-zip athletic jacket in deep pink with contrast coral side panels and flatlock seaming throughout. Stand collar, zipped hand pockets and a branded metal zip pull.",owner,,
009,The North Face Fleece Jacket Turquoise Black Womens XS Full Zip Vintage Blue,The North Face,53f58a32-4297-5d2a-13e1-f280dccc7b29,02d57f77-78f5-0f68-8e09-b5a195e78035,VeryGood,Turquoise,Black,12.99,VWM - Women's Y2K Mix,1,2010s,Panelled stretch fleece with black underarm and hem blocking and a small embroidered chest logo - the 2010s fitted North Face fleece rather than the boxy 90s cut.,Polyester fleece,estimated - composition tag photographed but not legible,"Small discrepancies on the arm, barely noticeable (see images)",Minor,480,Grams,2.95,,FALSE,FALSE,the north face|north|face|fleece|jacket|turquoise|black|womens|xs|full|zip|vintage|blue,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Basic Jacket | Outer Shell Material: Polyester,"Very Good Vintage Condition
Size: XS (Measurements provided on the images)
Era: 2010s

🧵Material: Polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: The North Face full-zip fleece jacket in bright turquoise with black shoulder, side and hem panels. Fitted cut with a stand collar, zipped hand pockets and an embroidered chest logo. Small discrepancies on the arm, barely noticeable (see images).",owner,,
010,Carhartt Hoodie Burgundy Womens XS Vintage Faded Pullover Workwear Sweatshirt,Carhartt,b1d3ddb2-054d-46ee-52e1-4f079b388670,02d57f77-78f5-0f68-8e09-b5a195e78035,VeryGood,Burgundy,,13.99,VWM - Women's Y2K Mix,1,2010s,"Square Carhartt C patch at the pocket with the modern printed care label - the 2010s Carhartt hooded sweatshirt, faded down with wear.",Cotton and polyester fleece,estimated - composition tag photographed but not legible,None,None,600,Grams,2.95,,FALSE,FALSE,carhartt|hoodie|burgundy|womens|xs|vintage|faded|pullover|workwear|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text),"Very Good Vintage Condition
Size: XS (4-6) - relaxed fit (Measurements provided on the images)
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Carhartt pullover hoodie in faded burgundy with the square Carhartt patch at the kangaroo pocket. Heavyweight brushed-back fleece, ribbed cuffs and hem and a drawstring hood. Relaxed workwear cut.",owner,,
011,Carhartt Hoodie Brown Womens Vintage Sleeve Logo Pullover Workwear Sweatshirt,Carhartt,b1d3ddb2-054d-46ee-52e1-4f079b388670,,VeryGood,Brown,,19.99,VWM - Women's Y2K Mix,1,2010s,Carhartt's brown duck colourway with the C patch at the chest and the full sleeve wordmark print introduced on the 2010s hooded sweatshirts.,Cotton and polyester fleece,estimated - no composition tag photographed,None,None,600,Grams,2.95,,FALSE,FALSE,carhartt|hoodie|brown|womens|vintage|sleeve|logo|pullover|workwear|sweatshirt,SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,5.23,Department: Women | Style: Pullover | Neckline: Hooded (free text),"Very Good Condition
Size: See measurements on the images
Era: 2010s

🧵Material: Cotton and polyester fleece
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Carhartt pullover hoodie in Carhartt brown with the square C patch at the chest and the Carhartt wordmark printed down the full sleeve. Kangaroo pocket, ribbed cuffs and hem and a drawstring hood.",owner,,SIZE NOT SET - ledger size blank and no size label appears in the photographs.
