sku_pattern,cost,notes
SF - Summer Designer Mix,6.45,"owner: 'or similar'; 2 Sep - the 2026-09-02 ledger wrote it as 'SF - Men's Summer Designer Mix'. Owner confirmed there is no separate men's bundle: it is just Summer Designer, 6.45"
SF Women's Y2K Mix,5.10,
VWM - RL Lacoste Polos,6.60,owner wrote 'VWM RL/Lacoste Polo'
VWM - Women's Y2K Mix,5.23,
VWM - Track Jacket,9.60,
VWM Hoodie,9.00,
VWM Sweat,9.00,
VWM Carhartt and Dickies T Shirts,6.00,added 16 Aug
VWM Trackbottoms,8.40,added 16 Aug
VWM - Summer Women's Mix,,NO RATE GIVEN - do not borrow the SF summer figure
VWM - Women's Summer Mix,,NO RATE GIVEN - do not borrow the SF summer figure
