item_no,title,brand,category_id,size_id,condition,color,secondary_color,price,sku,quantity,era,era_evidence,material,material_source,defects,description,Who made,When made,Smart pricing,Smart pricing price,Accept offers,Is auction,Auction starting price,Cost of Goods,flags
001,Skinny Minnie Top Tunic Long Sleeve Y2K Floral Black Cream Womens Large,Skinny Minnie,c31a3b30-37eb-9bcd-2f22-39331b368a0a,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Black,Cream,9.99,VWM - Summer Women's Mix,1,Late 2000s to Early 2010s,"Asymmetric dipped handkerchief hem, scoop neck and longline layering cut. Dipped hems on tunics peaked c.2008-2012 on the UK high street; the baroque lace-effect placement print is the same wave. Revised later than my first estimate on the hem shape alone.",Jersey knit with printed panels,estimated - no tag read yet,None,"Very Good Condition
Size: Large (Measurements provided on the images)
Era: Late 2000s to Early 2010s

🧵Material: Jersey knit with printed panels
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Late 2000s to Early 2010s Y2K Skinny Minnie longline tunic top in black and cream with an ornate baroque floral print body and contrast plain black sleeves. Asymmetric dipped hem and scoop neck, cut for a relaxed layering fit.",SomeoneElse,From2010To2019,FALSE,,TRUE,FALSE,,,"When made: dipped hem c.2008-2012, centre falls just into the 2010s | Cost unknown: no VWM summer-mix price given. SF Summer Designer Mix is 6.45, but SF and VWM price differently for the same category (SF Women's Y2K 5.10 vs VWM 5.23), so the SF figure is not safe to reuse."
002,Ralph Lauren Polo Shirt Striped Navy White Short Sleeve Vintage Mens XXL,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,e307171d-7e37-919c-42e5-6634573985a2,VeryGood,Navy,White,14.99,,1,1990s to 2000s,"Even fine pinstripe on mid-weight pique, two-button placket, standard collar and no contrast trim. A shape Ralph Lauren ran continuously, so styling alone will not narrow it; the neck label would.",Cotton piqué,estimated - no tag read yet,None,"Very Good Vintage Condition
Size: XXL (Measurements provided on the images)
Era: 1990s to 2000s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s to 2000s Vintage Ralph Lauren striped polo shirt in navy with fine white and cream horizontal pinstripes. Classic two-button placket, ribbed collar and cuffs with the signature embroidered pony logo at the chest.",SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,,When made: no dateable detail; bulk of this shape sits early 2000s | Cost unknown: this item has no SKU recorded.
003,Ralph Lauren Polo Shirt Tartan Check Plaid Green Navy Vintage Mens Small,Ralph Lauren,53a08abc-4447-97e2-211b-4e5b23c79b26,78c1966f-1623-2e16-092e-b126ed286978,VeryGood,Multi,,14.99,VWM - RL Lacoste Polos,1,Mid 2000s,"Contrast burgundy chambray under-hem panel below an all-over tartan pique body. That layered under-hem detail is a Ralph Lauren rugby-influenced trim from the mid 2000s Custom Fit era, not a 1990s make. Narrowed from 1990s-2000s.",Cotton,estimated - no tag read yet,Labels cut.,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: Mid 2000s

🧵Material: Cotton
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: Mid 2000s Vintage Ralph Lauren tartan check polo shirt in green, navy and cream plaid with a contrast burgundy hem panel. Rare all-over check pattern with navy ribbed collar and the embroidered pony logo at the chest. Labels cut.",SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,6.60,"Colour: tartan check mapped to Multi - confirm | Defect note moved out of the Colour field, where it was recorded as 'labels cut' | When made: mid 2000s Custom Fit under-hem trim"
004,Ralph Lauren Polo Shirt Womens Black Short Sleeve Slim Fit Large,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,903b02f6-1f5a-36ed-6620-bfae7fb51f8f,VeryGood,Black,,12.99,VWM - Women's Y2K Mix,1,2000s to 2010s,Four-button placket with contrast white buttons and a tan pony on black - the women's Skinny Polo treatment. Widened from 2010s: the four-button placket ran from the mid 2000s.,Cotton piqué,estimated - no tag read yet,None,"Very Good Condition
Size: Large (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren women's polo shirt in black with a four-button placket and contrast white buttons. Slim tailored cut with ribbed collar and cuffs and the signature embroidered pony logo in tan at the chest.",SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,5.23,"Label reads XL, ledger says Large. Ledger wins - see conventions.md | When made: four-button placket sets a mid-2000s floor"
005,Fredericks of Hollywood Corset Basque Bustier Red Black Lace Vintage 36,Frederick's of Hollywood,2c80ed22-1eb3-1a89-4cb0-16eb577636b2,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Red,Black,12.99,VWM - Women's Summer Mix,1,1990s to 2000s,Front-zip boned satin basque with garter ribbons at the hem and adjustable lace straps. Front-zip basques with garter tabs are the Frederick's catalogue staple of that window.,Satin with lace trim,estimated - no tag read yet,None,"Very Good Condition
Size: 36 (Measurements provided on the images)
Era: 1990s to 2000s

🧵Material: Satin with lace trim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1990s to 2000s Vintage Frederick's of Hollywood satin basque corset in red with black lace trim and ribbon detailing. Boned structured bodice, front zip fastening, adjustable straps and suspender ribbons at the hem.",SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,,"Category moved from Women's bras to Women's bandeaus so 'very small' could become a real size. Ledger band 36 kept in the description. | When made: front-zip basque with garter tabs, centre of range | Cost unknown: as above, no VWM summer-mix price given."
006,Avon Fashions Bustier Corset Bra Top Black Lace Vintage Small,Avon Fashions,2c80ed22-1eb3-1a89-4cb0-16eb577636b2,0a197135-09d9-7a16-9bc8-9fe09264a06a,VeryGood,Black,,8.99,VWM - Women's Y2K Mix,1,1980s to 1990s,"Strapless longline bustier, structured seamed cups, sheer lace panels and back fastening. Avon Fashions catalogue lingerie is concentrated in the 1980s and early 1990s and the cup construction matches.",Lace with satin trim,estimated - no tag read yet,None,"Very Good Condition
Size: Small (Measurements provided on the images)
Era: 1980s to 1990s

🧵Material: Lace with satin trim
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 1980s to 1990s Vintage Avon Fashions strapless bustier corset top in black with sheer lace panels and satin trim. Boned longline bodice with structured cups and back fastening, a classic lingerie silhouette.",SomeoneElse,From1980s,FALSE,,TRUE,FALSE,,5.23,Category moved from Women's bras to Women's bandeaus so ledger size Small could become a real size id. | When made: Avon Fashions catalogue lingerie concentrates in the 1980s
007,Ralph Lauren Polo Shirt Womens Navy Blue Short Sleeve Medium 10 12,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,Navy,,12.99,VWM - Women's Y2K Mix,1,2000s to 2010s,"Small white embroidered pony, two-button placket, side vents. Standard women's Ralph Lauren cut with no dateable detail - a decade-wide read is honest here.",Cotton piqué,estimated - no tag read yet,None,"Very Good Condition
Size: Medium (10-12) (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Ralph Lauren women's polo shirt in navy blue with a two-button placket and the signature embroidered pony logo in white at the chest. Clean preppy styling with ribbed collar and cuffs and side vents at the hem.",SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,5.23,Size confirmed as UK M (16 Aug) | When made: no dateable detail; centre of a 2000s-2010s range
008,Nike Track Jacket Hooded Windbreaker Green Track Field Vintage Mens Large,Nike,1188aafb-450c-6f08-68e8-6dbd6e662784,f9ea6dc9-36f2-458a-3070-f8947835429a,VeryGood,Green,,24.99,VWM - Track Jacket,1,2000s to 2010s,"Embroidered chest Swoosh with team embroidery, mesh-lined hood, drawcord hem and a printed COACH back. School and team issue Nike of that window; the embroidered rather than printed Swoosh rules out the most recent decade.",Synthetic shell with mesh lining,estimated - no tag read yet,None,"Very Good Condition
Size: Large (oversized fit) (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Synthetic shell with mesh lining
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Nike hooded windbreaker jacket in green with R.P.H. Track & Field embroidery at the chest and COACH branding to the reverse. Full zip fastening, drawcord hood and hem, side pockets and the embroidered Swoosh logo.",SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,9.60,When made: embroidered rather than printed Swoosh rules out the recent decade
009,Harley Davidson Hoodie Zip Up Sweatshirt Cardigan White Pink Womens Medium,Harley Davidson,bd8faf62-88ba-8f4c-28e7-6d76f491596f,fb288854-9af5-1e28-20b7-2837ee7b6aed,VeryGood,White,Pink,14.99,VWM - Women's Y2K Mix,1,2000s,"Large pink and black rose-and-script chest graphic wrapping onto the sleeve, fitted zip hoodie cut. Y2K women's Harley licensed graphics, tightly clustered in the 2000s. Narrowed from 2000s-2010s.",Cotton blend fleece-back jersey,estimated - no tag read yet,None,"Very Good Condition
Size: Medium (Measurements provided on the images)
Era: 2000s

🧵Material: Cotton blend fleece-back jersey
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s Harley Davidson women's zip up hooded sweatshirt in white with a large pink and black rose and script graphic to the chest and sleeve. Full zip fastening, lined hood and ribbed cuffs and hem.",SomeoneElse,From2000To2006,FALSE,,TRUE,FALSE,,5.23,When made: Y2K licensed Harley graphic
010,Ralph Lauren Polo Shirt Big Pony Navy Blue Orange Womens XL,Ralph Lauren,94954653-2623-55ef-459f-259d8f557249,3d0d4408-03e4-6ea2-7468-c9d4a5540d55,VeryGood,Navy,Green,9.99,VWM - RL Lacoste Polos,1,2000s to 2010s,"Big Pony chest logo with a numbered sleeve patch and contrast green side panels. The Big Pony line launched c.2005, which sets a firm earliest date.",Cotton piqué,estimated - no tag read yet,One small discrepancy on the front (see images).,"Very Good Vintage Condition
Size: XL (Measurements provided on the images)
Era: 2000s to 2010s

🧵Material: Cotton piqué
🚚 Quick Delivery
📦 Guaranteed Authenticity With Milltown Archive

Item Description: 2000s to 2010s Vintage Ralph Lauren Big Pony polo shirt in navy blue with an oversized orange embroidered pony at the chest and a green number 3 patch to the sleeve. Contrast green side panels and split hem. One small discrepancy on the front (see images).",SomeoneElse,From2007To2009,FALSE,,TRUE,FALSE,,6.60,"Secondary Green = side panels, not the orange logo | Defect carried from the ledger | When made: Big Pony line launched c.2005, so a firm floor"
