item_no,source_filename,shot_type,photo_index,notes
001,FullSizeRender-Photoroom 25.JPG,front,1,unconfirmed
001,FullSizeRender-Photoroom 26.JPG,front,2,unconfirmed
001,IMG_0007-Photoroom.JPG,front,3,
001,FullSizeRender-Photoroom 24.JPG,back,4,unconfirmed
001,IMG_0001-Photoroom.JPG,detail,5,
001,IMG_0002-Photoroom.JPG,detail,6,
001,IMG_0003-Photoroom.JPG,detail,7,
001,IMG_0004-Photoroom.JPG,detail,8,
001,IMG_0005-Photoroom.JPG,detail,9,
001,IMG_0006-Photoroom.JPG,detail,10,
001,IMG_0008-Photoroom.JPG,measure,11,
001,IMG_0009-Photoroom.JPG,measure,12,
001,IMG_0007.HEIC,card,,number card 1
002,FullSizeRender-Photoroom 22.JPG,front,1,unconfirmed
002,FullSizeRender-Photoroom 23.JPG,front,2,unconfirmed
002,IMG_0010-Photoroom.JPG,front,3,
002,IMG_0011-Photoroom.JPG,detail,4,
002,IMG_0012-Photoroom.JPG,detail,5,
002,IMG_0014-Photoroom.JPG,detail,6,
002,IMG_0016-Photoroom.JPG,detail,7,
002,IMG_0017-Photoroom.JPG,measure,8,
002,IMG_0018-Photoroom.JPG,measure,9,
002,IMG_0015.HEIC,card,,number card 2
003,FullSizeRender-Photoroom 21.JPG,front,1,unconfirmed
003,IMG_0019-Photoroom.JPG,front,2,
003,IMG_0022-Photoroom.JPG,detail,3,
003,IMG_0023-Photoroom.JPG,detail,4,
003,IMG_0024-Photoroom.JPG,detail,5,
003,IMG_0025-Photoroom.JPG,detail,6,
003,IMG_0026-Photoroom.JPG,detail,7,
003,IMG_0027-Photoroom.JPG,detail,8,
003,IMG_0020-Photoroom.JPG,measure,9,
003,IMG_0021-Photoroom.JPG,measure,10,
003,IMG_0019.HEIC,card,,number card 3
004,IMG_0028-Photoroom.JPG,front,1,
004,IMG_0034-Photoroom.JPG,front,2,
004,IMG_0029-Photoroom.JPG,detail,3,
004,IMG_0030-Photoroom.JPG,detail,4,
004,IMG_0031-Photoroom.JPG,detail,5,
004,IMG_0032-Photoroom.JPG,detail,6,
004,IMG_0033-Photoroom.JPG,detail,7,
004,IMG_0035-Photoroom.JPG,detail,8,
004,IMG_0036-Photoroom.JPG,measure,9,
