Item No.,Category,Product Name,Colour Clarity/Description,Defects,Size,Condition,SKU,Price,Accept Offers,Date Added
1,,Les Copains Denim Jacket,Green-toned denim,None,(see collar label),Very good condition,SF Fripe - Jackets,£49.99,Yes,2026-09-26
2,Women's,Emanuel Ungaro Jacket,"White women's jacket. Made in Italy.

Small discrepancy on the front - minor and barely noticeable",Small discrepancy on the front - minor and barely noticeable,,Very good condition,SF Fripe - Jackets,£69.99,Yes,2026-09-26
3,Men's,Barbour Beaufort Waxed Jacket,Brown waxed cotton (Rustic/Bark colourway). Beaufort model.,None,"XL (unconfirmed - Barbour sizes by chest, check the C__/__CM label)",Good condition,SF Fripe - Jackets,£74.99,Yes,2026-09-26
4,Men's,Trussardi Action Coat,Brown. Labelled real leather - appears suede or nubuck rather than smooth leather (material to confirm),None,IT 50 (UK 40 chest / Large mens),Very good condition,SF Fripe - Jackets,,,2026-09-26
5,Men's,Hugo Boss Leather Jacket,Leather with a removable interior liner,None,,Very good condition,SF Fripe - Jackets,,,2026-09-26
6,Women's,GFF Gianfranco Ferre Jacket,,None,"IT 46 / USA 12 (approx UK 12-14 - vintage sizing runs small, confirm by measurement)",,SF Fripe - Jackets,,,2026-09-26
7,,Cacharel Cashmere Knitted Cardigan / Jacket,Cashmere knitted cardigan-jacket,None,(no size label - needs measuring),Very good condition,SF Fripe - Jackets,,,2026-09-26
8,Men's,Fur Jacket,Fur - confirm real or faux before listing (platform restrictions apply),None,Large,Very good condition,SF Fripe - Jackets,,,2026-09-26
9,Men's,Mizone Uomo Cardigan (brand to confirm),Several discolourations,Several discolourations,,Satisfactory condition,SF Fripe - Jackets,,,2026-09-26
10,Women's,Burberry Jacket,"Label reads Burberry, not Burberrys - dates it post-1999",None,Taglia/Talla 54 (continental) - reads as men's XL / UK 44 chest. If genuinely women's it would be UK 22. Confirm by placket direction,Very good condition,SF Fripe - Jackets,,,2026-09-26
11,,Barbour Dress Tartan Jacket,"Barbour Dress Tartan (the house tartan, red/pink based)",None,Medium,Very good condition,SF3,,,2026-09-26
12,Men's,Pal Zileri Sport Jacket,Tan,None,,Very good condition,SF Fripe - Jackets,,,2026-09-26
13,,Easy by Nazareno Gabrielli Jacket,"Navy with a teal lining. Zip-off sleeves and a button-off hood, so it converts to a gilet.

Broken zip",Broken zip (confirm which - main front zip or a sleeve zip),,Good condition,SF Fripe - Jackets,,,2026-09-26
14,,Diesel Jacket,"Butter yellow.

A few discolouration marks, not very noticeable","A few discolouration marks, not very noticeable",XXL,Good condition,SF Fripe - Jackets,,,2026-09-26
15,Men's,Pierre Cardin Jacket,"Navy.

The bottom part of the zip has snapped off, but the zip still works fine",Bottom part of the zip has snapped off - zip still works fine,102cm chest (40 inch / Large mens),Very good condition,SF Fripe - Jackets,,,2026-09-26
16,,Belstaff Jacket,Navy,None,,Very good condition,SF Fripe - Jackets,,,2026-09-26
17,,Lacoste Jumper,"Green.

A few tiny snag holes",A few tiny snag holes,,Very good condition,VWM - Lacoste Jumpers/Cardigans,,,2026-09-26
18,,Lacoste Cardigan,Blue. No inside label.,None,Large,Very good condition,VWM - Lacoste Jumpers/Cardigans,,,2026-09-26
19,,Lacoste Cardigan,"Beige. No inside labels.

2 small stains on the front of the sleeve",2 small stains on the front of the sleeve,,Good condition,VWM - Lacoste Jumpers/Cardigans,,,2026-09-26
20,,Lacoste Jacket,Charcoal grey. No inside label.,None,Large,Very good condition,VWM - Lacoste Jumpers/Cardigans,,,2026-09-26
